Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
25,"A Khandelwal, Y Tang, R Agarwal, A Akella…","Jiffy: Elastic far-memory for stateful serverless analytics",2022,"Proceedings of the …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3492321.3527539","https://scholar.google.com/scholar?cites=1985696844296704371&as_sdt=2005&sciodt=0,5&hl=en",210,"2023-11-04 14:24:16","","10.1145/3492321.3527539","","",,,,,25,25.00,5,5,1,"Stateful serverless analytics can be enabled using a remote memory system for inter-task … This paper presents Jiffy, an elastic far-memory system for stateful serverless analytics that …","https://dl.acm.org/doi/pdf/10.1145/3492321.3527539","https://scholar.google.com/scholar?q=related:c1HrW8KcjhsJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
100,"A Klimovic, Y Wang, C Kozyrakis, P Stuedi…","Understanding ephemeral storage for serverless analytics",2018,"2018 USENIX annual …","usenix.org","https://www.usenix.org/conference/atc18/presentation/klimovic-serverless","https://scholar.google.com/scholar?cites=7535218464476631824&as_sdt=2005&sciodt=0,5&hl=en",107,"2023-11-04 14:24:16","","","","",,,,,100,20.00,20,5,5,"… Serverless computing frameworks allow … serverless computing to run data-intensive jobs, such as interactive analytics. A key challenge in running analytics workloads on serverless …","https://www.usenix.org/system/files/conference/atc18/atc18-klimovic-serverless.pdf","https://scholar.google.com/scholar?q=related:EBMYKEV5kmgJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
312,"A Klimovic, Y Wang, P Stuedi, A Trivedi…","Pocket: Elastic ephemeral storage for serverless analytics",2018,"… USENIX Symposium on …","usenix.org","https://www.usenix.org/conference/osdi18/presentation/klimovic","https://scholar.google.com/scholar?cites=11548870538331533339&as_sdt=2005&sciodt=0,5&hl=en",105,"2023-11-04 14:24:16","","","","",,,,,312,62.40,62,5,5,"… These properties make serverless computing appealing for … as direct communication between serverless tasks is difficult. … ElastiCache Redis for serverless analytics applications while …","https://www.usenix.org/system/files/osdi18-klimovic.pdf","https://scholar.google.com/scholar?q=related:G7A56pDURaAJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
4,"A Kumari, B Sahoo","Serverless architecture for healthcare management systems",2022,"… of research on mathematical modeling for …","igi-global.com","https://www.igi-global.com/chapter/serverless-architecture-for-healthcare-management-systems/306166","https://scholar.google.com/scholar?cites=1326862879288764771&as_sdt=2005&sciodt=0,5&hl=en",374,"2023-11-04 14:24:16","","","","",,,,,4,4.00,2,2,1,"… The healthcare service can be made available as a serverless … This chapter presents a novel model for serverless architecture … that have adopted serverless frameworks are discussed. …","https://www.researchgate.net/profile/Anisha-Kumari-3/publication/361432646_Serverless_Architecture_for_Healthcare_Management_Systems/links/62eca645505511283e8f9a9f/Serverless-Architecture-for-Healthcare-Management-Systems.pdf","https://scholar.google.com/scholar?q=related:Y6moOcL2aRIJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
14,"A Kumari, B Sahoo, RK Behera, S Misra…","Evaluation of integrated frameworks for optimizing qos in serverless computing",2021,"… Science and Its …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-87007-2_20","https://scholar.google.com/scholar?cites=5880603368174635783&as_sdt=2005&sciodt=0,5&hl=en",339,"2023-11-04 14:24:16","","10.1007/978-3-030-87007-2_20","","",,,,,14,7.00,3,5,2,"… of serverless frameworks for parallel loads in terms of response time and throughput. In this paper, we have shown that the serverless … of the performance of serverless frameworks in …","","https://scholar.google.com/scholar?q=related:B8sDSZsZnFEJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
9,"A Kumari, MK Patra, B Sahoo, RK Behera","Resource optimization in performance modeling for serverless application",2022,"International Journal of …","Springer","https://link.springer.com/article/10.1007/s41870-022-01073-x","https://scholar.google.com/scholar?cites=5364759463434518146&as_sdt=2005&sciodt=0,5&hl=en",183,"2023-11-04 14:24:16","","10.1007/s41870-022-01073-x","","",,,,,9,9.00,2,4,1,"… This is just the way of representation of serverless application. In this section, we have briefly discussed serverless architecture and serverless workflow which are the key components …","https://www.researchgate.net/profile/Anisha-Kumari-3/publication/362812972_Resource_optimization_in_performance_modeling_for_serverless_application/links/63008538eb7b135a0e4aa7fe/Resource-optimization-in-performance-modeling-for-serverless-application.pdf","https://scholar.google.com/scholar?q=related:gv5t6050c0oJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
7,"A Kumari, RK Behera, B Sahoo, S Misra","Role of serverless computing in healthcare systems: Case studies",2022,"International Conference on …","Springer","https://link.springer.com/chapter/10.1007/978-3-031-10542-5_9","https://scholar.google.com/scholar?cites=6987078146443739&as_sdt=2005&sciodt=0,5&hl=en",204,"2023-11-04 14:24:16","","10.1007/978-3-031-10542-5_9","","",,,,,7,7.00,2,4,1,"… made available as a serverless application that consists of … been successfully adapted serverless architecture for health … may require serverless services over the cloud infrastructure. …","https://www.researchgate.net/profile/Ranjan-Behera-2/publication/362177409_Role_of_Serverless_Computing_in_Healthcare_Systems_Case_Studies/links/62de0b8aaa5823729ee0a40f/Role-of-Serverless-Computing-in-Healthcare-Systems-Case-Studies.pdf","https://scholar.google.com/scholar?q=related:28nv5rXSGAAJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
32,"A Kuntsevich, P Nasirifard, HA Jacobsen","A distributed analysis and benchmarking framework for apache openwhisk serverless platform",2018,"Proceedings of the 19th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3284014.3284016","https://scholar.google.com/scholar?cites=6903057059678810863&as_sdt=2005&sciodt=0,5&hl=en",259,"2023-11-04 14:24:16","","10.1145/3284014.3284016","","",,,,,32,6.40,11,3,5,"… One prominent serverless platform is Apache OpenWhisk which is … of serverless computing, some limitations of the serverless platform, such as the state-less nature of serverless …","https://epezhman.github.io/pubs/openwhisk.pdf","https://scholar.google.com/scholar?q=related:73JoYtKVzF8J:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
7,"A Kölzsch, SC Davidson, D Gauggel, C Hahn, J Hirt…","MoveApps: a serverless no-code analysis platform for animal tracking data",2022,"Movement Ecology","Springer","https://link.springer.com/article/10.1186/s40462-022-00327-4","https://scholar.google.com/scholar?cites=1569915049837495072&as_sdt=2005&sciodt=0,5&hl=en",429,"2023-11-04 14:24:16","HTML","10.1186/s40462-022-00327-4","","",,,,,7,7.00,1,6,1,"… We specified MoveApps as a serverless platform [24] that runs on a cloud computing system, … For realising it as a serverless cloud computing system, we decided to implement Apps as …","https://link.springer.com/article/10.1186/s40462-022-00327-4","https://scholar.google.com/scholar?q=related:IIMaiWt1yRUJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
15,"A Lakhan, FH Khoso, AA Arain, K Kanwar","Serverless based functions aware framework for healthcare application",2021,"Int. J","academia.edu","https://www.academia.edu/download/66253053/ijeter19942021.pdf","https://scholar.google.com/scholar?cites=6725442612363236170&as_sdt=2005&sciodt=0,5&hl=en",348,"2023-11-04 14:24:16","PDF","","","",,,,,15,7.50,4,4,2,"… To cope with the useless renting cost, the study devises the serverless function as a service … This paper suggests serverless function as a service based system which charge only for …","https://www.academia.edu/download/66253053/ijeter19942021.pdf","https://scholar.google.com/scholar?q=related:SpMvS2ySVV0J:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
